MODEL,EPOCH,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS,TIME,TRAINPRECISION,TRAINRECALL,TRAINF1SCORE,TESTPRECISION,TESTRECALL,TESTF1SCORE
GaborNN5Layer,27,0.825488455,0.002952385,0.777666667,0.004598244,1141.437834,0.885191972,0.748594841,0.811183122,0.839244181,0.677183115,0.749553889
GaborNN5Layer,28,0.831261101,0.002850507,0.758333333,0.004696186,1115.214406,0.886115563,0.761218825,0.818932516,0.817258214,0.662795993,0.731967069
GaborNN5Layer,29,0.838143872,0.002810499,0.750333333,0.005237792,1100.386416,0.891472441,0.770772949,0.82674056,0.748668447,0.753687514,0.751169597
GaborNN5Layer,30,0.841844287,0.00270328,0.740333333,0.005295882,1097.224153,0.891187004,0.779015192,0.831334334,0.766379001,0.688982249,0.725622629
RESNET18,1,0.632178804,0.005042545,0.709333333,0.004534053,8441.64354,0.645531307,0.611662615,0.628140751,0.761052874,0.610281648,0.677378998
RESNET18,2,0.664298401,0.004761854,0.72,0.004373249,9804.064656,0.673081197,0.647381758,0.659981391,0.770151581,0.629382826,0.692687763
RESNET18,3,0.671181172,0.00467178,0.679,0.005014038,9766.822331,0.680667405,0.65303428,0.666564576,0.753269124,0.535543243,0.626015392
RESNET18,4,0.675843694,0.004641239,0.722333333,0.004351998,9851.556368,0.689604878,0.647442294,0.667858807,0.765596062,0.646575718,0.701070267
RESNET18,5,0.675473653,0.004634433,0.718,0.00434169,9540.671708,0.692950062,0.640695261,0.665798939,0.761340819,0.63883731,0.694730065
RESNET18,6,0.682208407,0.004588785,0.697666667,0.004563115,9423.913367,0.690227929,0.667079378,0.678456257,0.67930701,0.752106739,0.713855628
RESNET18,7,0.685316755,0.004570605,0.722666667,0.004308797,9173.414562,0.698735943,0.661302402,0.679504014,0.730654995,0.702508732,0.716305478
RESNET18,8,0.69116341,0.004528138,0.709,0.004485581,9122.038816,0.703765926,0.663492556,0.683036104,0.700879073,0.72654858,0.713483018
RESNET18,9,0.68598283,0.004568633,0.705333333,0.004607236,8842.840034,0.698836317,0.656949469,0.677245848,0.799180593,0.550885808,0.652200879
RESNET18,10,0.687833037,0.004531507,0.721666667,0.004340702,9373.475406,0.699816779,0.662812988,0.680812443,0.730713285,0.698795135,0.714397875
RESNET18,11,0.690053286,0.004521391,0.722,0.004341326,10002.73441,0.701831338,0.669862309,0.685474285,0.786396181,0.60825227,0.685946716
RESNET18,12,0.693457667,0.004515959,0.725333333,0.004359034,9400.0248,0.705497508,0.669428729,0.686990018,0.790126024,0.612625837,0.690145749
RESNET18,13,0.69249556,0.00450943,0.716666667,0.004404261,9967.36165,0.706328896,0.665092481,0.685090732,0.770457787,0.612329141,0.68235206
RESNET18,14,0.693975725,0.004510718,0.71,0.004624646,9484.316466,0.70678497,0.672007859,0.688957825,0.808631481,0.545382518,0.651416416
RESNET18,15,0.694789816,0.004483867,0.719666667,0.004343822,9464.400537,0.706105552,0.673365327,0.689346913,0.755062378,0.65253125,0.700062557
RESNET18,16,0.693383659,0.004507337,0.718666667,0.004391257,9307.466201,0.706614969,0.665506381,0.685444871,0.778249014,0.613166842,0.685914981
RESNET18,17,0.69419775,0.004499829,0.683,0.004808607,9398.608968,0.70755172,0.669111039,0.687794688,0.651595855,0.788859445,0.713687602
RESNET18,18,0.690645352,0.004532174,0.711,0.004531381,9231.186567,0.699942969,0.671802248,0.685583961,0.806532345,0.555389621,0.657805226
RESNET18,19,0.691829485,0.004514089,0.726666667,0.004315939,9338.788447,0.706143379,0.666564006,0.685783095,0.765058163,0.642506812,0.698447446
RESNET18,20,0.687240971,0.004499847,0.724,0.004333803,10124.80263,0.703151286,0.659268115,0.680502968,0.724915526,0.725835556,0.725375249
RESNET18,21,0.69116341,0.004514526,0.729,0.004296639,9735.943127,0.706512838,0.663717913,0.684447092,0.765564679,0.666717707,0.7127303
RESNET18,22,0.691755477,0.00449804,0.727,0.004298261,9984.846532,0.704065191,0.668017313,0.68556772,0.780149307,0.637019686,0.701356675
RESNET18,23,0.693309651,0.004479903,0.720333333,0.004306066,9527.123918,0.705010834,0.669113508,0.686593284,0.737615405,0.682281449,0.708870234
